id,code,latitude,longitude,name,country code
634,ESH,,,Shoreham Airport,GB
635,VCF,,,Valcheta Airport,AR
636,PDP,,,Capitan Corbeta CA Curbelo International Airport,UY
637,MCK,,,Mc Cook Ben Nelson Regional Airport,US
638,CEL,,,Cape Eleuthera Airport,BS
639,ULC,,,Los Cerrillos Airport,CL
640,JRB,,,Downtown-Manhattan/Wall St Heliport,US
641,GEW,,,Gewoia Airport,PG
642,INH,,,Inhambane Airport,MZ
643,PAK,,,Port Allen Airport,US
644,DIR,,,Aba Tenna Dejazmach Yilma International Airport,ET
645,ZKE,,,Kashechewan Airport,CA
646,RCY,,,Rum Cay Airport,BS
647,IDI,,,Indiana County/Jimmy Stewart Fld/ Airport,US
648,UTU,,,Ustupo Airport,PA
649,HPY,,,Baytown Airport,US
650,ZEG,,,Senggo Airport,ID
651,GEB,,,Gebe Airport,ID
652,FUB,,,Fulleborn Airport,PG
653,CFI,,,Camfield Airport,AU
654,RTM,,,Rotterdam The Hague Airport,NL
655,OCW,,,Warren Field,US
656,SJL,,,São Gabriel da Cachoeira Airport,BR
657,IWJ,,,Iwami Airport,JP
658,FNI,,,Nîmes-Arles-Camargue Airport,FR
659,JAT,,,Jabot Airport,MH
660,CAG,,,Cagliari Elmas Airport,IT
661,SUE,,,Door County Cherryland Airport,US
662,SBX,,,Shelby Airport,US
663,ITM,,,Osaka International Airport,JP
664,YKF,,,Waterloo Airport,CA
665,GCJ,,,Grand Central Airport,ZA
666,YGK,,,Kingston Norman Rogers Airport,CA
667,BBG,,,Butaritari Atoll Airport,KI
668,HTZ,,,Hato Corozal Airport,CO
669,PZU,,,Port Sudan New International Airport,SD
670,EWN,,,Coastal Carolina Regional Airport,US
671,YLR,,,Leaf Rapids Airport,CA
672,WAY,,,Greene County Airport,US
673,CXR,,,Cam Ranh Airport,VN
674,SXM,,,Princess Juliana International Airport,SX
675,TAH,,,Tanna Airport,VU
676,TSW,,,Tsewi Airport,PG
677,BOY,,,Bobo Dioulasso Airport,BF
678,OYP,,,Saint-Georges-de-l'Oyapock Airport,GF
679,CCT,,,Colonia Catriel Airport,AR
680,BOG,,,El Dorado International Airport,CO
681,WKJ,,,Wakkanai Airport,JP
682,KRN,,,Kiruna Airport,SE
683,CHJ,,,Chipinge Airport,ZW
684,AIL,,,Alligandi Airport,PA
685,OUA,,,Ouagadougou Airport,BF
686,DRU,,,Drummond Airport,US
687,SBV,,,Sabah Airport,PG
688,BVO,,,Bartlesville Municipal Airport,US
689,GDI,,,Gordil Airport,CF
690,XMC,,,Mallacoota Airport,AU
691,CAE,,,Columbia Metropolitan Airport,US
692,BZI,,,Balıkesir Merkez Airport,TR
693,VDA,,,Ovda International Airport,IL
694,MAO,,,Eduardo Gomes International Airport,BR
695,GWY,,,Galway Airport,IE
696,YEO,,,RNAS Yeovilton,GB
697,POE,,,Polk Army Air Field,US
698,VNC,,,Venice Municipal Airport,US
699,XTO,,,Taroom Airport,AU
700,MHY,,,Morehead Airport,PG
701,MJE,,,Majkin Airport,MH
702,BXH,,,Balkhash Airport,KZ
703,WOS,,,Wonsan Kalma International Airport,KP
704,HBT,,,Hambantota Seaplane Base,LK
705,BCU,,,Sir Abubakar Tafawa Balewa International Airport,NG
706,AHT,,,Amchitka Army Airfield,US
707,OEL,,,Oryol Yuzhny Airport,RU
708,BLQ,,,Bologna Guglielmo Marconi Airport,IT
709,ETH,,,Eilat Airport,IL
710,THW,,,Trincomalee Harbor Waterdrome,LK
711,CFD,,,Coulter Field,US
712,BNB,,,Boende Airport,CD
713,MOZ,,,Moorea Airport,PF
714,ELJ,,,El Recreo Airport,CO
715,APY,,,Alto Parnaíba Airport,BR
716,BSD,,,Baoshan Yunduan Airport,CN
717,IBP,,,Iberia Airport,PE
718,MKK,,,Molokai Airport,US
719,KXU,,,Katiu Airport,PF
720,GNA,,,Hrodna Airport,BY
721,MSS,,,Massena International Richards Field,US
722,YMV,,,Mary River Aerodrome,CA
723,LGR,,,Cochrane Airport,CL
724,KAP,,,Kapanga Airport,CD
725,ENO,,,Encarnación Airport,PY
726,BPA,,,Grumman Bethpage Airport,US
727,RZS,,,Sawan Airport,ID
728,OAS,,,Sharana Airstrip,AF
729,CYD,,,Town Airstrip,BZ
730,OBC,,,Obock Airport,DJ
731,KBF,,,Karubaga Airport,ID
732,YKX,,,Kirkland Lake Airport,CA
733,LSZ,,,Lošinj Island Airport,HR
734,SRO,,,Santana Ramos Airport,CO
735,LDW,,,Lansdowne Airport,AU
736,KBL,,,Hamid Karzai International Airport,AF
737,MLN,,,Melilla Airport,ES
738,HLO,,,Ingjaldssanður Airport,IS
739,PPD,,,Palmas del Mar Airstrip,PR
740,PMR,,,Palmerston North Airport,NZ
741,NGU,,,Norfolk Naval Station (Chambers Field),US
742,TYZ,,,Taylor Airport,US
743,TST,,,Trang Airport,TH
744,USH,,,Malvinas Argentinas Airport,AR
745,LUP,,,Kalaupapa Airport,US
746,SGV,,,Sierra Grande Airport,AR
747,ENH,,,Enshi Airport,CN
748,CHT,,,Chatham Islands-Tuuta Airport,NZ
749,HNL,,,Daniel K Inouye International Airport,US
750,BUD,,,Budapest Liszt Ferenc International Airport,HU
751,LOW,,,Louisa County Airport/Freeman Field,US
752,MEA,,,Macaé Airport,BR
753,MYF,,,Montgomery-Gibbs Executive Airport,US
754,IKU,,,Issyk-Kul International Airport,KG
755,KEY,,,Kericho Airport,KE
756,TCN,,,Tehuacan Airport,MX
757,BCP,,,Bambu Airport,PG
758,HFA,,,Haifa International Airport,IL
759,NAE,,,Natitingou Airport,BJ
760,YYH,,,Taloyoak Airport,CA
761,PWQ,,,Pavlodar Airport,KZ
762,URE,,,Kuressaare Airport,EE
763,DBA,,,Dalbandin Airport,PK
764,YJT,,,Stephenville Airport,CA
765,TTU,,,Saniat R'mel Airport,MA
766,KIT,,,Kithira Airport,GR
767,FRZ,,,Fritzlar Airport,DE
768,MCK,,,Mc Cook Ben Nelson Regional Airport,US
769,HZV,,,Hazyview Airport,ZA
770,JUB,,,Juba International Airport,SS
771,YGL,,,La Grande Rivière Airport,CA
772,DLE,,,Dole-Tavaux Airport,FR
773,RSJ,,,Rosario Seaplane Base,US
774,FMU,,,Florence Municipal Airport,US
775,CWX,,,Cochise County Airport,US
776,JIK,,,Ikaria Airport,GR
777,GRJ,,,George Airport,ZA
778,CMX,,,Houghton County Memorial Airport,US
779,RUI,,,Sierra Blanca Regional Airport,US
780,RGK,,,Gorno-Altaysk Airport,RU
781,KNG,,,Kaimana Airport,ID
782,SVD,,,Argyle International Airport,VC
783,AKG,,,Anguganak Airport,PG
784,FRS,,,Mundo Maya International Airport,GT
785,DAT,,,Datong Airport,CN
786,MGQ,,,Aden Adde International Airport,SO
787,YEB,,,Bar River Airport,CA
788,MGG,,,Margarima Airport,PG
789,DZI,,,Las Flores Airport,CO
790,RDB,,,Red Dog Airport,US
791,KMJ,,,Kumamoto Airport,JP
792,MXY,,,Mc Carthy Airport,US
793,PBI,,,Palm Beach International Airport,US
794,WEW,,,Wee Waa Airport,AU
795,KSI,,,Kissidougou Airport,GN
796,ESL,,,Elista Airport,RU
797,MTG,,,Vila Bela da Santíssima Trindade Airport,BR
798,RTA,,,Rotuma Airport,FJ
799,GUD,,,Goundam Airport,ML
800,RUF,,,Yuruf Airport,ID
801,PRR,,,Paruma Airport,GY
802,VIJ,,,Virgin Gorda Airport,VG
803,END,,,Vance Air Force Base,US
804,FRW,,,Francistown Airport,BW
805,YSH,,,Smiths Falls-Montague (Russ Beach) Airport,CA
806,JRH,,,Jorhat Airport,IN
807,TAL,,,Ralph M Calhoun Memorial Airport,US
808,VIR,,,Virginia Airport,ZA
809,OWB,,,Owensboro Daviess County Airport,US
810,MDD,,,Midland Airpark,US
811,TCM,,,McChord Air Force Base,US
812,MCD,,,Mackinac Island Airport,US
813,0,,,Volta Grande Airport,BR
814,CMO,,,Obbia Airport,SO
815,GCJ,,,Grand Central Airport,ZA
816,HIE,,,Mount Washington Regional Airport,US
817,PYM,,,Plymouth Municipal Airport,US
818,HZP,,,Fort Mackay / Horizon Airport,CA
819,FKI,,,Bangoka International Airport,CD
820,MFJ,,,Moala Airport,FJ
821,SCG,,,Spring Creek Airport,AU
822,ZHY,,,Zhongwei Shapotou Airport,CN
823,SSH,,,Sharm El Sheikh International Airport,EG
824,UNU,,,Dodge County Airport,US
825,REA,,,Reao Airport,PF
826,TUT,,,Tauta Airport,PG
827,IFP,,,Laughlin Bullhead International Airport,US
828,YAL,,,Alert Bay Airport,CA
829,VXE,,,São Pedro Airport,CV
830,SRG,,,Achmad Yani Airport,ID
831,IPI,,,San Luis Airport,CO
832,PCV,,,Punta Chivato Airport,MX
833,KTP,,,Tinson Pen Airport,JM
834,EAU,,,Chippewa Valley Regional Airport,US
835,DLS,,,Columbia Gorge Regional the Dalles Municipal Airport,US
836,TFL,,,Juscelino Kubitscheck Airport,BR
837,AAF,,,Apalachicola Regional Airport,US
838,BSS,,,Balsas Airport,BR
839,KRF,,,Kramfors Sollefteå Airport,SE
840,AYH,,,RAF Alconbury,GB
841,TTU,,,Saniat R'mel Airport,MA
842,CLY,,,Calvi-Sainte-Catherine Airport,FR
843,APT,,,Marion County Brown Field,US
844,0,,,Ouro Fino Airport,BR
845,MVT,,,Mataiva Airport,PF
846,NMA,,,Namangan Airport,UZ
847,CMR,,,Colmar-Houssen Airport,FR
848,QJD,,,Jindabyne Airport,AU
849,VHZ,,,Vahitahi Airport,PF
850,MKE,,,General Mitchell International Airport,US
851,AGX,,,Agatti Airport,IN
852,XNA,,,Northwest Arkansas Regional Airport,US
853,MZD,,,Méndez Airport,EC
854,CQF,,,Calais-Dunkerque Airport,FR
855,FNL,,,Northern Colorado Regional Airport,US
856,BJY,,,Batajnica Air Base,RS
857,MXR,,,Myrhorod Air Base,UA
858,QGF,,,Montenegro Airport,BR
859,DLM,,,Dalaman International Airport,TR
860,BVS,,,Breves Airport,BR
861,ZAA,,,Alice Arm/Silver City Seaplane Base,CA
862,PTW,,,Heritage Field,US
863,SJJ,,,Sarajevo International Airport,BA
864,SHR,,,Sheridan County Airport,US
865,SFR,,,San Fernando Airport,US
866,APF,,,Naples Municipal Airport,US
867,MQM,,,Mardin Airport,TR
868,NPH,,,Nephi Municipal Airport,US
869,CWJ,,,Cangyuan Washan Airport,CN
870,CIR,,,Cairo Regional Airport,US
871,KCU,,,Masindi Airport,UG
872,MBK,,,Regional Orlando Villas Boas Airport,BR
873,NVR,,,Novgorod Airport,RU
874,OER,,,Örnsköldsvik Airport,SE
875,CSX,,,Changsha Huanghua International Airport,CN
876,AMH,,,Arba Minch Airport,ET
877,FFL,,,Fairfield Municipal Airport,US
878,SEM,,,Craig Field,US
879,VAL,,,Valença Airport,BR
880,BTX,,,Betoota Airport,AU
881,JCJ,,,Chuja Port Heliport,KR
882,VAN,,,Van Ferit Melen Airport,TR
883,MED,,,Prince Mohammad Bin Abdulaziz Airport,SA
884,KSP,,,Kosipe Airport,PG
885,TWP,,,Torwood Airport,AU
886,QIT,,,Itapetinga Airport,BR
887,SCF,,,Scottsdale Airport,US
888,BPN,,,Sultan Aji Muhamad Sulaiman Airport,ID
889,AKJ,,,Asahikawa Airport,JP
890,IXI,,,North Lakhimpur Airport,IN
891,GNU,,,Goodnews Airport,US
892,CGQ,,,Longjia Airport,CN
893,TIM,,,Moses Kilangin Airport,ID
894,ODC,,,Oakdale Airport,US
895,SVG,,,Stavanger Airport Sola,NO
896,CUM,,,Cumaná (Antonio José de Sucre) Airport,VE
897,JNN,,,Nanortalik Heliport,GL
898,JVA,,,Ankavandra Airport,MG
899,IRJ,,,Capitan V A Almonacid Airport,AR
900,WIK,,,Waiheke Reeve Airport,NZ
901,CZP,,,Cape Pole Seaplane Base,US
902,SWC,,,Stawell Airport,AU
903,FIH,,,Ndjili International Airport,CD
904,JKL,,,Kalymnos Airport,GR
905,PSI,,,Pasni Airport,PK
906,CNA,,,Cananea National Airport,MX
907,DGU,,,Dedougou Airport,BF
908,GGO,,,Guiglo Airport,CI
909,SOP,,,Moore County Airport,US
910,BHI,,,Comandante Espora Airport,AR
911,MNE,,,Mungeranie Airport,AU
912,PJC,,,Dr Augusto Roberto Fuster International Airport,PY
913,RBA,,,Rabat-Salé Airport,MA
914,TER,,,Lajes Airport,PT
915,CXY,,,Cat Cay Airport,BS
916,ICS,,,Cascade Airport,US
917,YGM,,,Gimli Industrial Park Airport,CA
918,IYK,,,Inyokern Airport,US
919,GII,,,Siguiri Airport,GN
920,GMB,,,Gambella Airport,ET
921,LUG,,,Lugano Airport,CH
922,LPJ,,,Armando Schwarck Airport,VE
923,CTN,,,Cooktown Airport,AU
924,VKO,,,Vnukovo International Airport,RU
925,0,,,São Joaquim Airport,BR
926,SSO,,,São Lourenço Airport,BR
927,NLN,,,Kneeland Airport,US
928,APW,,,Faleolo International Airport,WS
929,GAJ,,,Yamagata Airport,JP
930,BPE,,,Qinhuangdao Beidaihe Airport,CN
931,MYE,,,Miyakejima Airport,JP
932,TFT,,,Taftan Airport,PK
933,TPF,,,Peter O Knight Airport,US
934,0,,,Lagoa Santa Airport,BR
935,SXB,,,Strasbourg Airport,FR
936,ICT,,,Wichita Eisenhower National Airport,US
937,XTL,,,Tadoule Lake Airport,CA
938,MHY,,,Morehead Airport,PG
939,AIH,,,Aiambak Airport,PG
940,PBQ,,,Pimenta Bueno Airport,BR
941,LEN,,,Leon Airport,ES
942,DER,,,Derim Airport,PG
943,MVD,,,Carrasco International /General C L Berisso Airport,UY
944,HOB,,,Lea County Regional Airport,US
945,MMH,,,Mammoth Yosemite Airport,US
946,BOG,,,El Dorado International Airport,CO
947,AYP,,,Coronel FAP Alfredo Mendivil Duarte Airport,PE
948,LRA,,,Larisa Airport,GR
949,TIF,,,Ta’if Regional Airport,SA
950,BNK,,,Ballina Byron Gateway Airport,AU
951,KXR,,,Karoola Airport,PG
952,BPY,,,Besalampy Airport,MG
953,SSJ,,,Sandnessjøen Airport (Stokka),NO
954,MGC,,,Michigan City Municipal Airport,US
955,FXY,,,Forest City Municipal Airport,US
956,PYO,,,Putumayo Airport,EC
957,SHH,,,Shishmaref Airport,US
958,ASL,,,Harrison County Airport,US
959,CEE,,,Cherepovets Airport,RU
960,ESM,,,General Rivadeneira Airport,EC
961,BBR,,,Baillif Airport,GP
962,SDH,,,Santa Rosa de Copán Airport,HN
963,EBM,,,El Borma Airport,TN
964,UJN,,,Uljin Airport,KR
965,AKE,,,Akieni Airport,GA
966,MLZ,,,Cerro Largo International Airport,UY
967,ANZ,,,Angus Downs Airport,AU
968,YLJ,,,Meadow Lake Airport,CA
969,EGN,,,Geneina Airport,SD
970,KML,,,Kamileroi Airport,AU
971,DMO,,,Sedalia Memorial Airport,US
972,MID,,,Licenciado Manuel Crescencio Rejon Int Airport,MX
973,DRF,,,Drift River Airport,US
974,MIU,,,Maiduguri International Airport,NG
975,KCK,,,Kirensk Airport,RU
976,KIP,,,Kickapoo Downtown Airport,US
977,NYR,,,Nyurba Airport,RU
978,FRQ,,,Feramin Airport,PG
979,MRO,,,Hood Airport,NZ
980,SJP,,,Prof. Eribelto Manoel Reino State Airport,BR
981,GSM,,,Qeshm International Airport,IR
982,JUT,,,Jutigalpa airport,HN
983,ANZ,,,Angus Downs Airport,AU
984,BFU,,,Bengbu Airport,CN
985,IDY,,,Île d'Yeu Airport,FR
986,HPV,,,Princeville Airport,US
987,YGT,,,Igloolik Airport,CA
988,LPU,,,Long Apung Airport,ID
989,ITO,,,Hilo International Airport,US
990,EBD,,,El Obeid Airport,SD
991,URE,,,Kuressaare Airport,EE
992,PTY,,,Tocumen International Airport,PA
993,PRC,,,Ernest A. Love Field,US
994,GES,,,General Santos International Airport,PH
995,TOM,,,Timbuktu Airport,ML
996,YKQ,,,Waskaganish Airport,CA
997,MQN,,,"Mo i Rana Airport, Røssvoll",NO
998,LNP,,,Lonesome Pine Airport,US
999,MLK,,,Malta Airport,US
1000,NSH,,,Noshahr Airport,IR
